@relation 'AngelDaten-weka.filters.unsupervised.attribute.Discretize-V-B20-M-1.0-R39-weka.filters.unsupervised.attribute.Remove-R2,4-5,7-10,12-14,19-27,29,31-38'

@attribute 0_wasser_temperatur {'\'(-inf-8.82]\'','\'(8.82-9.64]\'','\'(9.64-10.46]\'','\'(10.46-11.28]\'','\'(11.28-12.1]\'','\'(12.1-12.92]\'','\'(12.92-13.74]\'','\'(13.74-14.56]\'','\'(14.56-15.38]\'','\'(15.38-16.2]\'','\'(16.2-17.02]\'','\'(17.02-17.84]\'','\'(17.84-18.66]\'','\'(18.66-19.48]\'','\'(19.48-20.3]\'','\'(20.3-21.12]\'','\'(21.12-21.94]\'','\'(21.94-22.76]\'','\'(22.76-23.58]\'','\'(23.58-inf)\''}
'\'(23.58-inf)\'','\'(32.45-35.9]\'','\'(30.065-inf)\'','\'(13.25-13.975]\'','\'(-inf-24.9]\'','\'(38.495-inf)\'','\'(35.315-inf)\'','\'(29.305-inf)\'','\'(37.21-inf)\'','\'(27.92-inf)\'',Karpfen
'\'(23.58-inf)\'','\'(35.9-39.35]\'','\'(30.065-inf)\'','\'(13.25-13.975]\'','\'(24.9-28.8]\'','\'(37.09-38.495]\'','\'(35.315-inf)\'','\'(29.305-inf)\'','\'(35.82-37.21]\'','\'(27.92-inf)\'',Brachse
'\'(20.3-21.12]\'','\'(66.95-70.4]\'','\'(24.39-25.525]\'','\'(8.175-8.9]\'','\'(56.1-60]\'','\'(23.04-24.445]\'','\'(25.035-26.32]\'','\'(23.83-24.925]\'','\'(23.31-24.7]\'','\'(24.68-25.76]\'',Karpfen
'\'(19.48-20.3]\'','\'(66.95-70.4]\'','\'(25.525-26.66]\'','\'(8.9-9.625]\'','\'(48.3-52.2]\'','\'(24.445-25.85]\'','\'(26.32-27.605]\'','\'(24.925-26.02]\'','\'(20.53-21.92]\'','\'(22.52-23.6]\'',Karpfen
'\'(20.3-21.12]\'','\'(70.4-73.85]\'','\'(24.39-25.525]\'','\'(1.65-2.375]\'','\'(75.6-79.5]\'','\'(25.85-27.255]\'','\'(27.605-28.89]\'','\'(27.115-28.21]\'','\'(26.09-27.48]\'','\'(26.84-27.92]\'',Aal
'\'(20.3-21.12]\'','\'(73.85-77.3]\'','\'(24.39-25.525]\'','\'(1.65-2.375]\'','\'(83.4-87.3]\'','\'(25.85-27.255]\'','\'(26.32-27.605]\'','\'(27.115-28.21]\'','\'(23.31-24.7]\'','\'(25.76-26.84]\'',Aal
'\'(21.94-22.76]\'','\'(73.85-77.3]\'','\'(28.93-30.065]\'','\'(11.8-12.525]\'','\'(67.8-71.7]\'','\'(24.445-25.85]\'','\'(25.035-26.32]\'','\'(24.925-26.02]\'','\'(26.09-27.48]\'','\'(26.84-27.92]\'',Brachse
'\'(21.94-22.76]\'','\'(53.15-56.6]\'','\'(26.66-27.795]\'','\'(7.45-8.175]\'','\'(40.5-44.4]\'','\'(31.47-32.875]\'','\'(30.175-31.46]\'','\'(27.115-28.21]\'','\'(26.09-27.48]\'','\'(24.68-25.76]\'',Brachse
'\'(21.94-22.76]\'','\'(53.15-56.6]\'','\'(26.66-27.795]\'','\'(7.45-8.175]\'','\'(40.5-44.4]\'','\'(31.47-32.875]\'','\'(30.175-31.46]\'','\'(27.115-28.21]\'','\'(26.09-27.48]\'','\'(24.68-25.76]\'',Brachse
'\'(21.94-22.76]\'','\'(94.55-inf)\'','\'(27.795-28.93]\'','\'(8.175-8.9]\'','\'(71.7-75.6]\'','\'(27.255-28.66]\'','\'(27.605-28.89]\'','\'(27.115-28.21]\'','\'(28.87-30.26]\'','\'(26.84-27.92]\'',Karpfen
'\'(21.94-22.76]\'','\'(91.1-94.55]\'','\'(24.39-25.525]\'','\'(2.375-3.1]\'','\'(95.1-inf)\'','\'(23.04-24.445]\'','\'(25.035-26.32]\'','\'(26.02-27.115]\'','\'(24.7-26.09]\'','\'(25.76-26.84]\'',Aal
